index,Benton faces,Fluid Intelligence,Emotion expression recognition,Famous faces,Hotel task,Picture priming,Proverb comprehension,Sentence comprehension (unacceptable error),Sentence comprehension (reaction time),Visual short term memory (mean),Visual short term memory (precision),Visual short term memory (doubt),Visual short term memory (MSE),model,rv
0,-0.522461610638219,-0.277770591250918,-0.1796524264600266,0.07400667130965255,0.32227239236839755,-0.10301222393421128,-0.013256382955976864,0.16766142908098197,-0.3053463630488284,-0.10537413269822218,-0.030638445120827595,0.14181926326293975,0.05171035303417308,laplacian_ridge_kernel,encod_mu_s_12
1,-0.39329223164536853,-0.1352426250764447,-0.2063836283889339,7.130914352974083e-05,0.2748160484514287,0.06244556695520755,-0.19997159856405633,0.0034196739102733353,0.07439942749173054,-0.023005083852553336,-0.12568531120089807,-0.12867085309456755,0.17336797210607932,laplacian_ridge_kernel,encod_mu_s_12
2,-0.25872522071503373,-0.19366342369106684,-0.2405023865080646,-0.12899478718540158,0.27193767998271917,-0.07930114541729913,-0.026615937127650657,0.10011467279225057,0.024379786532990964,-0.18643151024000199,0.08458725902605316,-0.12493672332929595,0.008303245991604202,laplacian_ridge_kernel,encod_mu_s_12
3,-0.194861743879773,-0.19411424381148593,-0.4320088891958229,0.03508364317469227,0.2606455278634862,-0.11278416639199107,-0.2694409839741377,-0.2547326233608474,0.16232008014904697,-0.1652343918049145,-0.11784211357583677,-0.1805732855304579,-0.011579248597114544,laplacian_ridge_kernel,encod_mu_s_12
4,-0.273966762811925,-0.13698536328825434,-0.1724219648126383,0.05012485099413688,0.1342700799713623,-0.008778585037666315,-0.12483086605847091,0.14779201317862328,0.0939751102818016,-0.29510858631704245,-0.02047806103856913,-0.027253022672519105,-0.007085356320388448,laplacian_ridge_kernel,encod_mu_s_12
0,-0.5220890441240944,-0.2560649045046035,-0.15652914098007803,0.0768999369318979,0.31197121197134015,-0.07287500496009007,-0.06871765598616389,-0.17218700505953427,-0.19252556975149684,-0.08542048387276814,-0.08348276629642365,0.011794640541605967,0.0032141984773524286,ridge_regression,encod_mu_s_12
1,-0.33209527291003066,-0.10931193270887955,-0.23736551481847895,-0.026120643603511667,0.2698193708015178,0.015581929966928943,-0.2576087844465358,-0.10040129199189592,0.036183713551129766,-0.009758050074405777,-0.1522811200425533,-0.06493651881963987,0.1489132096964375,ridge_regression,encod_mu_s_12
2,-0.12553021981935794,-0.0539111702717332,-0.12416840295410107,-0.06311324338818512,0.2799800122868886,-0.039680437185748325,0.0882577471494227,-0.005865058747152862,-0.07492405489218812,-0.16259940629441755,0.06369135973327963,-0.10134490650324143,-0.06339089801528305,ridge_regression,encod_mu_s_12
3,-0.21771055087150684,-0.21793967460291402,-0.3664656488737748,-0.03242701327699591,0.25866985543428295,-0.09792070926336374,-0.1450123753291349,-0.3924171009259848,0.13979184042349915,-0.24832179810932503,-0.06906818422946422,-0.18752560081007172,-0.04710691124242775,ridge_regression,encod_mu_s_12
4,-0.16250483969196922,-0.082597482157871,-0.011725997272863975,0.004111247832613169,0.1409142514379911,0.0774938782984742,-0.12508315641164836,-0.021965988104057744,0.08565694537605203,-0.40249322835802304,-0.09434204823362596,-0.007833099517773712,-0.1777132063367872,ridge_regression,encod_mu_s_12
0,-0.48979251051261724,-0.4298487666644231,-0.19794744010153062,0.15395330307080943,0.1789156315065032,0.005283354565810544,-0.08377030825069563,-0.22883276760903914,-0.218858690535348,-0.03953529666027543,-0.15462539052954216,0.06898762314107595,-0.11355563553091996,custom_ridge,encod_mu_s_12
1,-0.018136748581008943,-0.15033343983557246,-0.14195390353205983,0.07757733398303386,0.12040806234878976,0.09678156644564802,0.004214506826171605,-0.09340830662188472,-0.011060230712666309,0.011281565017975425,-0.3804116872979586,0.024092043192426138,0.1200815702732148,custom_ridge,encod_mu_s_12
2,-0.04386641027352135,-0.17096076386071726,-0.2580468801628436,-0.1018450744685517,0.07345004762824484,-0.04064084229640984,0.14093162855592,0.09247594021757484,-0.09174062148637877,-0.0688953291943771,-0.27564206541532904,-0.07555190230003486,-0.029091722371379598,custom_ridge,encod_mu_s_12
3,-0.04897523007175179,-0.29668678244256536,-0.303703311784987,0.043924894976704945,0.026433663646775386,-0.0029305750883035775,-0.0554764223810754,-0.44218660884372396,0.24354949292436429,-0.1939891947358834,-0.3770403034165891,-0.10820761747866929,-0.0772524420943511,custom_ridge,encod_mu_s_12
4,-0.1062819256353292,-0.09430445518402251,0.025073109795629822,0.1373308222738349,-0.012634449349834098,0.13735270962624108,-0.11387527665575965,-0.06530775129379024,-0.0931626161112898,-0.33787118546977923,-0.1503167934344541,-0.06612314167811174,-0.13361446648187797,custom_ridge,encod_mu_s_12
