Model settings:
Alpha = 1, Features encoder depth = 34, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1200, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    l2_norm    reconst_loss    score    train_loss     dur
    102     0.7919          1.3442  18.9874        2.1361  0.5598
    103     0.8472          1.3324  17.0121        2.1796  0.5594
    104     0.7956          1.3213  13.5132        [31m2.1169[0m  0.5598
    105     0.8577          1.3082  18.9242        2.1659  0.5605
    106     0.8436          1.3355  17.5176        2.1791  0.5605
    107     0.8353          1.3491  18.7390        2.1844  0.5610
    108     0.8175          1.3222  21.8704        2.1397  0.5594
    109     0.8249          1.3218  21.1259        2.1466  0.5605
    110     0.8555          1.3464  23.1929        2.2019  0.5611
    111     0.8217          1.3160  16.5007        2.1377  0.5593
    112     0.8245          1.3380  18.1679        2.1625  0.5600
    113     0.8136          1.3113  14.0863        2.1249  0.5608
    114     0.8473          1.3398  17.9104        2.1871  0.5612
    115     0.8888          1.3249  20.4287        2.2137  0.5601
    116     0.8768          1.3242  17.8989        2.2010  0.5605
    117     0.8282          1.3242  16.7818        2.1524  0.5605
    118     0.8278          1.2949  17.8406        2.1227  0.5611
    119     0.7975          1.3252  21.6655        2.1228  0.5602
    120     0.8362          1.3116  22.9949        2.1478  0.5591
    121     0.8090          1.3099  23.2028        2.1189  0.5652
    122     0.8401          1.3751  21.7345        2.2152  0.5611
    123     0.8503          1.3188  17.4188        2.1690  0.5607
    124     0.8261          1.3126  20.8824        2.1386  0.5607
    125     0.8029          1.3038  20.0640        [31m2.1066[0m  0.5602
    126     0.8190          1.3371  13.9651        2.1561  0.5607
    127     0.7910          1.3026  19.8573        [31m2.0937[0m  0.5614
    128     0.7725          1.3404  21.2494        2.1129  0.5609
    129     0.7999          1.3082  20.6413        2.1081  0.5596
    130     0.7403          1.3226  21.4567        [31m2.0630[0m  0.5617
    131     0.8215          1.3290  20.5460        2.1504  0.5611
