index,Benton faces,Fluid Intelligence,Emotion expression recognition,Famous faces,Hotel task,Picture priming,Proverb comprehension,Sentence comprehension (unacceptable error),Sentence comprehension (reaction time),Visual short term memory (mean),Visual short term memory (precision),Visual short term memory (doubt),Visual short term memory (MSE),model,rv
0,0.30864791941720415,0.6077024295266531,0.10462378067565285,0.3322633318649285,0.22370711860517636,0.407917710857937,0.04304339276973325,0.04949384497608034,0.15385159068451876,0.43558713978341695,0.37010543472529794,-0.2654730971347397,0.47612693052046906,ridge_regression,theta_s_12
1,0.3300167462549167,0.5656360941057665,0.08846659665279402,0.3275080787892618,0.24940153457401082,0.4166127554817402,0.04927460245117081,0.025452318447006177,0.15558318472620575,0.4106036310717431,0.34001635696983906,-0.23659901565943736,0.449575308343806,ridge_regression,theta_s_12
2,0.2926073826648185,0.5575195461591173,0.19085934122651854,0.29226811749734527,0.2657629874887079,0.4045088677723296,0.04172674350841775,0.00507346957693421,0.14215035206596768,0.38650319628912083,0.3661973072065043,-0.17374217454710417,0.4444535943878315,ridge_regression,theta_s_12
3,0.2479356240644583,0.6067826951854318,0.1922260614516234,0.3327640369974386,0.27207708339659614,0.36799554501804455,0.014465099913004154,0.04357639171887949,0.1511436353374661,0.4076262620526827,0.3258169708493647,-0.23068556490013772,0.4621568520380017,ridge_regression,theta_s_12
4,0.24973920570524796,0.5941389898485926,0.09166315860814997,0.36885823680644136,0.28939546248097525,0.40192925530121953,0.021613375213081144,-0.010215781775360222,0.1735496551751295,0.4087830256408206,0.3422902744390948,-0.26110241883623053,0.4548694283007874,ridge_regression,theta_s_12
0,0.262907606823599,0.6186494321925137,0.028480003635534056,0.29261373320077305,0.19541327756362387,0.4357041109328745,-0.03602961771437842,0.010141589713883677,0.18919870728924598,0.38942248373991006,0.3438848778274627,-0.1684340650040867,0.4363819600774237,custom_ridge,theta_s_12
1,0.28621412113153527,0.5749227831418422,0.07345220885671273,0.29096478457141567,0.13851420800034928,0.40282738143880686,-0.041318518683572815,-0.022184605235139553,0.14325232422635753,0.40524548461473237,0.3139702882297237,-0.13420436114252837,0.4497258617801469,custom_ridge,theta_s_12
2,0.23672002644080842,0.554893615949642,0.13030358867364933,0.273111749640013,0.25907413702251764,0.36990960385753263,0.014901211958438526,-0.00023360797379162745,0.09944195172560683,0.3508671235391255,0.30878323067530944,-0.15736525435788276,0.3899222536615664,custom_ridge,theta_s_12
3,0.2575482560048652,0.5810542042136013,0.1510330051680556,0.28401029774209235,0.24651499383477837,0.2986150541103533,-0.093629973702117,-0.035798150757861455,0.16792956043464732,0.3404795387874907,0.1677861727759016,-0.17546892410482157,0.3974584580099196,custom_ridge,theta_s_12
4,0.24338847993057144,0.5909975468763299,0.0667301911421404,0.30800908662261844,0.19109399188217918,0.3776468759332283,-0.06685437915500628,-0.08831986704548034,0.08974810413068722,0.36032558197832804,0.30089521077254877,-0.044793326504774106,0.41705671729149263,custom_ridge,theta_s_12
